Port not available. Exiting...
diré,I will tell,"decir - to say, to tell",conjugation:indicative-future infinitive:decir
dirás,you will say,"decir - to say, to tell",conjugation:indicative-future infinitive:decir
dirá,he will say,"decir - to say, to tell",conjugation:indicative-future infinitive:decir
diremos,we will say,"decir - to say, to tell",conjugation:indicative-future infinitive:decir
dirán,they will say,"decir - to say, to tell",conjugation:indicative-future infinitive:decir
haré,I will do,"hacer - to do, to make",conjugation:indicative-future infinitive:hacer
harás,you will do,"hacer - to do, to make",conjugation:indicative-future infinitive:hacer
hará,he will do,"hacer - to do, to make",conjugation:indicative-future infinitive:hacer
haremos,we will do,"hacer - to do, to make",conjugation:indicative-future infinitive:hacer
harán,they will do,"hacer - to do, to make",conjugation:indicative-future infinitive:hacer
reharé,I will redo,"rehacer - to redo, to do again",conjugation:indicative-future infinitive:rehacer
reharás,you reharás,"rehacer - to redo, to do again",conjugation:indicative-future infinitive:rehacer
rehará,he will remake,"rehacer - to redo, to do again",conjugation:indicative-future infinitive:rehacer
reharemos,we will redo,"rehacer - to redo, to do again",conjugation:indicative-future infinitive:rehacer
reharán,they will redo,"rehacer - to redo, to do again",conjugation:indicative-future infinitive:rehacer
desharé,I will undo,deshacer - to undo; to melt; to destroy,conjugation:indicative-future infinitive:deshacer
desharás,you will undo,deshacer - to undo; to melt; to destroy,conjugation:indicative-future infinitive:deshacer
deshará,he will undo,deshacer - to undo; to melt; to destroy,conjugation:indicative-future infinitive:deshacer
desharemos,we will undo,deshacer - to undo; to melt; to destroy,conjugation:indicative-future infinitive:deshacer
desharán,they will undo,deshacer - to undo; to melt; to destroy,conjugation:indicative-future infinitive:deshacer
estaré,I will be,estar - to be,conjugation:indicative-future infinitive:estar
estarás,you will be,estar - to be,conjugation:indicative-future infinitive:estar
estará,he will be,estar - to be,conjugation:indicative-future infinitive:estar
estaremos,we will be,estar - to be,conjugation:indicative-future infinitive:estar
estarán,they will be,estar - to be,conjugation:indicative-future infinitive:estar
seré,I will be,ser - to be,conjugation:indicative-future infinitive:ser
serás,you will be,ser - to be,conjugation:indicative-future infinitive:ser
será,he will be,ser - to be,conjugation:indicative-future infinitive:ser
seremos,we will be,ser - to be,conjugation:indicative-future infinitive:ser
serán,they will be,ser - to be,conjugation:indicative-future infinitive:ser
comeré,I will eat,comer - to eat,conjugation:indicative-future infinitive:comer
comerás,you will eat,comer - to eat,conjugation:indicative-future infinitive:comer
