ser,to be (permanently),,conjugation:infinitive infinitive:ser
soy,i am (permanently),ser - to be (permanently),conjugation:indicative-present infinitive:ser
eres,you are (permanently),ser - to be (permanently),conjugation:indicative-present infinitive:ser
es,he (permanently),ser - to be (permanently),conjugation:indicative-present infinitive:ser
somos,to be (permanently),ser - to be (permanently),conjugation:indicative-present infinitive:ser
son,they are (permanently),ser - to be (permanently),conjugation:indicative-present infinitive:ser
estar,to be (temporarily),,conjugation:infinitive infinitive:estar
estoy,i am (temporarily),estar - to be (temporarily),conjugation:indicative-present infinitive:estar
estás,you are (temporarily),estar - to be (temporarily),conjugation:indicative-present infinitive:estar
está,he is (temporarily),estar - to be (temporarily),conjugation:indicative-present infinitive:estar
estamos,we are (temporarily),estar - to be (temporarily),conjugation:indicative-present infinitive:estar
están,they are (temporarily),estar - to be (temporarily),conjugation:indicative-present infinitive:estar
ir,to go,,conjugation:infinitive infinitive:ir
voy,"i am going to, i will",ir - to go,conjugation:indicative-present infinitive:ir
vas,you go,ir - to go,conjugation:indicative-present infinitive:ir
va,he goes,ir - to go,conjugation:indicative-present infinitive:ir
vamos,we are going,ir - to go,conjugation:indicative-present infinitive:ir
van,they go,ir - to go,conjugation:indicative-present infinitive:ir
abatir,to take down,,conjugation:infinitive infinitive:abatir
abato,I abato,abatir - to take down,conjugation:indicative-present infinitive:abatir
abates,you knock down,abatir - to take down,conjugation:indicative-present infinitive:abatir
abate,he knocks down,abatir - to take down,conjugation:indicative-present infinitive:abatir
abatimos,we knock down,abatir - to take down,conjugation:indicative-present infinitive:abatir
abaten,they knock down,abatir - to take down,conjugation:indicative-present infinitive:abatir
abrasar,to burn,,conjugation:infinitive infinitive:abrasar
abraso,I hug,abrasar - to burn,conjugation:indicative-present infinitive:abrasar
abrasas,you burn,abrasar - to burn,conjugation:indicative-present infinitive:abrasar
abrasa,he burns,abrasar - to burn,conjugation:indicative-present infinitive:abrasar
abrasamos,we burn,abrasar - to burn,conjugation:indicative-present infinitive:abrasar
abrasan,they burn,abrasar - to burn,conjugation:indicative-present infinitive:abrasar
abrazar,"to hug, to embrace",,conjugation:infinitive infinitive:abrazar
abrazo,I embrace,"abrazar - to hug, to embrace",conjugation:indicative-present infinitive:abrazar
abrazas,you embrace,"abrazar - to hug, to embrace",conjugation:indicative-present infinitive:abrazar
abraza,he embraces,"abrazar - to hug, to embrace",conjugation:indicative-present infinitive:abrazar
abrazamos,we embrace,"abrazar - to hug, to embrace",conjugation:indicative-present infinitive:abrazar
abrazan,they embrace,"abrazar - to hug, to embrace",conjugation:indicative-present infinitive:abrazar
abrir,to open,,conjugation:infinitive infinitive:abrir
abro,I open,abrir - to open,conjugation:indicative-present infinitive:abrir
abres,you open,abrir - to open,conjugation:indicative-present infinitive:abrir
abre,he opens,abrir - to open,conjugation:indicative-present infinitive:abrir
abrimos,we open,abrir - to open,conjugation:indicative-present infinitive:abrir
abren,they open,abrir - to open,conjugation:indicative-present infinitive:abrir
absolver,to absolve,,conjugation:infinitive infinitive:absolver
absuelvo,I absolve,absolver - to absolve,conjugation:indicative-present infinitive:absolver
absuelves,you absolve,absolver - to absolve,conjugation:indicative-present infinitive:absolver
absuelve,he absolves,absolver - to absolve,conjugation:indicative-present infinitive:absolver
absolvemos,we absolve,absolver - to absolve,conjugation:indicative-present infinitive:absolver
absuelven,they absolve,absolver - to absolve,conjugation:indicative-present infinitive:absolver
aburrir,to bore,,conjugation:infinitive infinitive:aburrir
aburro,I bore,aburrir - to bore,conjugation:indicative-present infinitive:aburrir
aburres,you bore,aburrir - to bore,conjugation:indicative-present infinitive:aburrir
aburre,he bored,aburrir - to bore,conjugation:indicative-present infinitive:aburrir
aburrimos,we bore,aburrir - to bore,conjugation:indicative-present infinitive:aburrir
aburren,they bored,aburrir - to bore,conjugation:indicative-present infinitive:aburrir
acabar,"to finish, to end",,conjugation:infinitive infinitive:acabar
acabo,I just,"acabar - to finish, to end",conjugation:indicative-present infinitive:acabar
acabas,you have just,"acabar - to finish, to end",conjugation:indicative-present infinitive:acabar
acaba,he just,"acabar - to finish, to end",conjugation:indicative-present infinitive:acabar
acabamos,we finish,"acabar - to finish, to end",conjugation:indicative-present infinitive:acabar
acaban,they have just,"acabar - to finish, to end",conjugation:indicative-present infinitive:acabar
aceptar,to accept,,conjugation:infinitive infinitive:aceptar
acepto,I accept,aceptar - to accept,conjugation:indicative-present infinitive:aceptar
aceptas,you agree,aceptar - to accept,conjugation:indicative-present infinitive:aceptar
acepta,he accepts,aceptar - to accept,conjugation:indicative-present infinitive:aceptar
aceptamos,we accept,aceptar - to accept,conjugation:indicative-present infinitive:aceptar
aceptan,they accept,aceptar - to accept,conjugation:indicative-present infinitive:aceptar
acosar,to harass,,conjugation:infinitive infinitive:acosar
acoso,I harassment,acosar - to harass,conjugation:indicative-present infinitive:acosar
acosas,you harass,acosar - to harass,conjugation:indicative-present infinitive:acosar
acosa,he harasses,acosar - to harass,conjugation:indicative-present infinitive:acosar
acosamos,we harass,acosar - to harass,conjugation:indicative-present infinitive:acosar
acosan,they harass,acosar - to harass,conjugation:indicative-present infinitive:acosar
acostar,"to lay down, to put to bed",,conjugation:infinitive infinitive:acostar
acuesto,I put to bed,"acostar - to lay down, to put to bed",conjugation:indicative-present infinitive:acostar
acuestas,you put to bed,"acostar - to lay down, to put to bed",conjugation:indicative-present infinitive:acostar
acuesta,he puts to bed,"acostar - to lay down, to put to bed",conjugation:indicative-present infinitive:acostar
acostamos,we put to bed,"acostar - to lay down, to put to bed",conjugation:indicative-present infinitive:acostar
acuestan,they put to bed,"acostar - to lay down, to put to bed",conjugation:indicative-present infinitive:acostar
afeitar,to shave,,conjugation:infinitive infinitive:afeitar
afeito,I shave,afeitar - to shave,conjugation:indicative-present infinitive:afeitar
afeitas,you shave,afeitar - to shave,conjugation:indicative-present infinitive:afeitar
afeita,he shaves,afeitar - to shave,conjugation:indicative-present infinitive:afeitar
afeitamos,we shave,afeitar - to shave,conjugation:indicative-present infinitive:afeitar
afeitan,they shave,afeitar - to shave,conjugation:indicative-present infinitive:afeitar
agradecer,to thank,,conjugation:infinitive infinitive:agradecer
agradezco,I would like to thank,agradecer - to thank,conjugation:indicative-present infinitive:agradecer
agradeces,you are grateful,agradecer - to thank,conjugation:indicative-present infinitive:agradecer
agradece,he is grateful,agradecer - to thank,conjugation:indicative-present infinitive:agradecer
agradecemos,we thank,agradecer - to thank,conjugation:indicative-present infinitive:agradecer
agradecen,they are grateful,agradecer - to thank,conjugation:indicative-present infinitive:agradecer
agregar,to add,,conjugation:infinitive infinitive:agregar
agrego,I add,agregar - to add,conjugation:indicative-present infinitive:agregar
agregas,you add,agregar - to add,conjugation:indicative-present infinitive:agregar
agrega,he adds,agregar - to add,conjugation:indicative-present infinitive:agregar
agregamos,we add,agregar - to add,conjugation:indicative-present infinitive:agregar
agregan,they add,agregar - to add,conjugation:indicative-present infinitive:agregar
alcanzar,to reach,,conjugation:infinitive infinitive:alcanzar
alcanzo,I reach,alcanzar - to reach,conjugation:indicative-present infinitive:alcanzar
alcanzas,you reach,alcanzar - to reach,conjugation:indicative-present infinitive:alcanzar
alcanza,he reaches,alcanzar - to reach,conjugation:indicative-present infinitive:alcanzar
alcanzamos,we reach,alcanzar - to reach,conjugation:indicative-present infinitive:alcanzar
alcanzan,they reach,alcanzar - to reach,conjugation:indicative-present infinitive:alcanzar
almorzar,to have lunch,,conjugation:infinitive infinitive:almorzar
almuerzo,I lunch,almorzar - to have lunch,conjugation:indicative-present infinitive:almorzar
almuerzas,you have lunch,almorzar - to have lunch,conjugation:indicative-present infinitive:almorzar
almuerza,he has lunch,almorzar - to have lunch,conjugation:indicative-present infinitive:almorzar
almorzamos,we had lunch,almorzar - to have lunch,conjugation:indicative-present infinitive:almorzar
almuerzan,they have lunch,almorzar - to have lunch,conjugation:indicative-present infinitive:almorzar
amar,to love,,conjugation:infinitive infinitive:amar
amo,I love,amar - to love,conjugation:indicative-present infinitive:amar
amas,you love,amar - to love,conjugation:indicative-present infinitive:amar
ama,he loves,amar - to love,conjugation:indicative-present infinitive:amar
amamos,we love,amar - to love,conjugation:indicative-present infinitive:amar
