ser,to be (permanently),,conjugation:infinitive infinitive:ser
fui,i went; i was (permanently),ser - to be (permanently),conjugation:indicative-preterite infinitive:ser
fuiste,you were (permanently),ser - to be (permanently),conjugation:indicative-preterite infinitive:ser
fue,he was (permanently),ser - to be (permanently),conjugation:indicative-preterite infinitive:ser
fuimos,we were (permanently),ser - to be (permanently),conjugation:indicative-preterite infinitive:ser
fueron,they were (permanently),ser - to be (permanently),conjugation:indicative-preterite infinitive:ser
estar,to be (temporarily),,conjugation:infinitive infinitive:estar
estuve,I was (temporarily),estar - to be (temporarily),conjugation:indicative-preterite infinitive:estar
estuviste,you were (temporarily),estar - to be (temporarily),conjugation:indicative-preterite infinitive:estar
estuvo,he was (temporarily),estar - to be (temporarily),conjugation:indicative-preterite infinitive:estar
estuvimos,we were (temporarily),estar - to be (temporarily),conjugation:indicative-preterite infinitive:estar
estuvieron,they were (temporarily),estar - to be (temporarily),conjugation:indicative-preterite infinitive:estar
ir,to go,,conjugation:infinitive infinitive:ir
fui,i went; i was,ir - to go,conjugation:indicative-preterite infinitive:ir
fuiste,you were,ir - to go,conjugation:indicative-preterite infinitive:ir
fue,he was,ir - to go,conjugation:indicative-preterite infinitive:ir
fuimos,we were,ir - to go,conjugation:indicative-preterite infinitive:ir
fueron,they were,ir - to go,conjugation:indicative-preterite infinitive:ir
abatir,to take down,,conjugation:infinitive infinitive:abatir
abatí,I abatí,abatir - to take down,conjugation:indicative-preterite infinitive:abatir
abatiste,you abatiste,abatir - to take down,conjugation:indicative-preterite infinitive:abatir
abatió,he hit,abatir - to take down,conjugation:indicative-preterite infinitive:abatir
abatimos,we killed,abatir - to take down,conjugation:indicative-preterite infinitive:abatir
abatieron,they fell,abatir - to take down,conjugation:indicative-preterite infinitive:abatir
abrasar,to burn,,conjugation:infinitive infinitive:abrasar
abrasé,I abrasé,abrasar - to burn,conjugation:indicative-preterite infinitive:abrasar
abrasaste,you abrasaste,abrasar - to burn,conjugation:indicative-preterite infinitive:abrasar
abrasó,it burned,abrasar - to burn,conjugation:indicative-preterite infinitive:abrasar
abrasamos,we abrasamos,abrasar - to burn,conjugation:indicative-preterite infinitive:abrasar
abrasaron,they burned,abrasar - to burn,conjugation:indicative-preterite infinitive:abrasar
abrazar,"to hug, to embrace",,conjugation:infinitive infinitive:abrazar
abracé,I hugged,"abrazar - to hug, to embrace",conjugation:indicative-preterite infinitive:abrazar
abrazaste,you embrace,"abrazar - to hug, to embrace",conjugation:indicative-preterite infinitive:abrazar
abrazó,he hugged,"abrazar - to hug, to embrace",conjugation:indicative-preterite infinitive:abrazar
abrazamos,we embrace,"abrazar - to hug, to embrace",conjugation:indicative-preterite infinitive:abrazar
abrazaron,they embraced,"abrazar - to hug, to embrace",conjugation:indicative-preterite infinitive:abrazar
abrir,to open,,conjugation:infinitive infinitive:abrir
