Port not available. Exiting...
ser,to be (permanently),,conjugation:infinitive infinitive:ser
era,I was (permanently),ser - to be (permanently),conjugation:indicative-imperfect infinitive:ser
eras,you were (permanently),ser - to be (permanently),conjugation:indicative-imperfect infinitive:ser
era,he was (permanently),ser - to be (permanently),conjugation:indicative-imperfect infinitive:ser
éramos,we were (permanently),ser - to be (permanently),conjugation:indicative-imperfect infinitive:ser
eran,they were (permanently),ser - to be (permanently),conjugation:indicative-imperfect infinitive:ser
estar,to be (temporarily),,conjugation:infinitive infinitive:estar
estaba,I was (temporarily),estar - to be (temporarily),conjugation:indicative-imperfect infinitive:estar
estabas,you were (temporarily),estar - to be (temporarily),conjugation:indicative-imperfect infinitive:estar
estaba,he was (temporarily),estar - to be (temporarily),conjugation:indicative-imperfect infinitive:estar
estábamos,we were (temporarily),estar - to be (temporarily),conjugation:indicative-imperfect infinitive:estar
estaban,they were (temporarily),estar - to be (temporarily),conjugation:indicative-imperfect infinitive:estar
ir,to go,,conjugation:infinitive infinitive:ir
iba,I was going,ir - to go,conjugation:indicative-imperfect infinitive:ir
ibas,you were going,ir - to go,conjugation:indicative-imperfect infinitive:ir
iba,he was going,ir - to go,conjugation:indicative-imperfect infinitive:ir
íbamos,we were going,ir - to go,conjugation:indicative-imperfect infinitive:ir
iban,they were going,ir - to go,conjugation:indicative-imperfect infinitive:ir
abatir,to take down,,conjugation:infinitive infinitive:abatir
abatía,I was knocking down,abatir - to take down,conjugation:indicative-imperfect infinitive:abatir
abatías,you abatías,abatir - to take down,conjugation:indicative-imperfect infinitive:abatir
abatía,he was knocking down,abatir - to take down,conjugation:indicative-imperfect infinitive:abatir
abatíamos,we were knocking down,abatir - to take down,conjugation:indicative-imperfect infinitive:abatir
abatían,they were knocking down,abatir - to take down,conjugation:indicative-imperfect infinitive:abatir
abrasar,to burn,,conjugation:infinitive infinitive:abrasar
abrasaba,I burned,abrasar - to burn,conjugation:indicative-imperfect infinitive:abrasar
abrasabas,you abrasabas,abrasar - to burn,conjugation:indicative-imperfect infinitive:abrasar
abrasaba,he was burning,abrasar - to burn,conjugation:indicative-imperfect infinitive:abrasar
abrasábamos,we were burning,abrasar - to burn,conjugation:indicative-imperfect infinitive:abrasar
abrasaban,they were burning,abrasar - to burn,conjugation:indicative-imperfect infinitive:abrasar
abrazar,"to hug, to embrace",,conjugation:infinitive infinitive:abrazar
abrazaba,I hugged,"abrazar - to hug, to embrace",conjugation:indicative-imperfect infinitive:abrazar
abrazabas,you were embracing,"abrazar - to hug, to embrace",conjugation:indicative-imperfect infinitive:abrazar
abrazaba,he hugged,"abrazar - to hug, to embrace",conjugation:indicative-imperfect infinitive:abrazar
abrazábamos,we hugged,"abrazar - to hug, to embrace",conjugation:indicative-imperfect infinitive:abrazar
abrazaban,they were embracing,"abrazar - to hug, to embrace",conjugation:indicative-imperfect infinitive:abrazar
Port not available. Exiting...
abrir,to open,,conjugation:infinitive infinitive:abrir
abría,I opened,abrir - to open,conjugation:indicative-imperfect infinitive:abrir
abrías,you opened your,abrir - to open,conjugation:indicative-imperfect infinitive:abrir
abría,he opened,abrir - to open,conjugation:indicative-imperfect infinitive:abrir
abríamos,we were opening,abrir - to open,conjugation:indicative-imperfect infinitive:abrir
abrían,they opened,abrir - to open,conjugation:indicative-imperfect infinitive:abrir
Port not available. Exiting...
absolver,to absolve,,conjugation:infinitive infinitive:absolver
absolvía,I was absolving,absolver - to absolve,conjugation:indicative-imperfect infinitive:absolver
absolvías,you absolvías,absolver - to absolve,conjugation:indicative-imperfect infinitive:absolver
absolvía,he was absolving,absolver - to absolve,conjugation:indicative-imperfect infinitive:absolver
absolvíamos,we were absolving,absolver - to absolve,conjugation:indicative-imperfect infinitive:absolver
absolvían,they were absolving,absolver - to absolve,conjugation:indicative-imperfect infinitive:absolver
aburrir,to bore,,conjugation:infinitive infinitive:aburrir
aburría,I was bored,aburrir - to bore,conjugation:indicative-imperfect infinitive:aburrir
aburrías,you were boring,aburrir - to bore,conjugation:indicative-imperfect infinitive:aburrir
aburría,he was bored,aburrir - to bore,conjugation:indicative-imperfect infinitive:aburrir
aburríamos,we were boring,aburrir - to bore,conjugation:indicative-imperfect infinitive:aburrir
aburrían,they were boring,aburrir - to bore,conjugation:indicative-imperfect infinitive:aburrir
acabar,"to finish, to end",,conjugation:infinitive infinitive:acabar
acababa,I had just,"acabar - to finish, to end",conjugation:indicative-imperfect infinitive:acabar
acababas,you were finishing,"acabar - to finish, to end",conjugation:indicative-imperfect infinitive:acabar
acababa,he had just,"acabar - to finish, to end",conjugation:indicative-imperfect infinitive:acabar
acabábamos,we had just,"acabar - to finish, to end",conjugation:indicative-imperfect infinitive:acabar
acababan,they had just,"acabar - to finish, to end",conjugation:indicative-imperfect infinitive:acabar
aceptar,to accept,,conjugation:infinitive infinitive:aceptar
aceptaba,I accepted,aceptar - to accept,conjugation:indicative-imperfect infinitive:aceptar
aceptabas,you were accepting,aceptar - to accept,conjugation:indicative-imperfect infinitive:aceptar
aceptaba,he accepted,aceptar - to accept,conjugation:indicative-imperfect infinitive:aceptar
aceptábamos,we accepted,aceptar - to accept,conjugation:indicative-imperfect infinitive:aceptar
aceptaban,they accepted,aceptar - to accept,conjugation:indicative-imperfect infinitive:aceptar
acertar,"to guess correctly, to hit the target",,conjugation:infinitive infinitive:acertar
acertaba,I was right,"acertar - to guess correctly, to hit the target",conjugation:indicative-imperfect infinitive:acertar
acertabas,you acertabas,"acertar - to guess correctly, to hit the target",conjugation:indicative-imperfect infinitive:acertar
acertaba,he was right,"acertar - to guess correctly, to hit the target",conjugation:indicative-imperfect infinitive:acertar
acertábamos,we were right,"acertar - to guess correctly, to hit the target",conjugation:indicative-imperfect infinitive:acertar
acertaban,they were right,"acertar - to guess correctly, to hit the target",conjugation:indicative-imperfect infinitive:acertar
acosar,to harass,,conjugation:infinitive infinitive:acosar
acosaba,I harassed,acosar - to harass,conjugation:indicative-imperfect infinitive:acosar
acosabas,you acosabas,acosar - to harass,conjugation:indicative-imperfect infinitive:acosar
acosaba,he was harassing,acosar - to harass,conjugation:indicative-imperfect infinitive:acosar
acosábamos,we were harassing,acosar - to harass,conjugation:indicative-imperfect infinitive:acosar
acosaban,they harassed,acosar - to harass,conjugation:indicative-imperfect infinitive:acosar
acostar,"to lay down, to put to bed",,conjugation:infinitive infinitive:acostar
acostaba,I was putting to bed,"acostar - to lay down, to put to bed",conjugation:indicative-imperfect infinitive:acostar
acostabas,you were putting to bed,"acostar - to lay down, to put to bed",conjugation:indicative-imperfect infinitive:acostar
acostaba,he was putting to bed,"acostar - to lay down, to put to bed",conjugation:indicative-imperfect infinitive:acostar
acostábamos,we were putting to bed,"acostar - to lay down, to put to bed",conjugation:indicative-imperfect infinitive:acostar
acostaban,they moored their vessels,"acostar - to lay down, to put to bed",conjugation:indicative-imperfect infinitive:acostar
advertir,to warn,,conjugation:infinitive infinitive:advertir
advertía,I warned,advertir - to warn,conjugation:indicative-imperfect infinitive:advertir
advertías,you advertías,advertir - to warn,conjugation:indicative-imperfect infinitive:advertir
advertía,he warned,advertir - to warn,conjugation:indicative-imperfect infinitive:advertir
advertíamos,we were warning,advertir - to warn,conjugation:indicative-imperfect infinitive:advertir
advertían,they warned,advertir - to warn,conjugation:indicative-imperfect infinitive:advertir
afeitar,to shave,,conjugation:infinitive infinitive:afeitar
afeitaba,I shaved,afeitar - to shave,conjugation:indicative-imperfect infinitive:afeitar
afeitabas,you afeitabas,afeitar - to shave,conjugation:indicative-imperfect infinitive:afeitar
afeitaba,he was shaving,afeitar - to shave,conjugation:indicative-imperfect infinitive:afeitar
afeitábamos,we were shaving,afeitar - to shave,conjugation:indicative-imperfect infinitive:afeitar
afeitaban,they were shaving,afeitar - to shave,conjugation:indicative-imperfect infinitive:afeitar
agradecer,to thank,,conjugation:infinitive infinitive:agradecer
agradecía,I was grateful,agradecer - to thank,conjugation:indicative-imperfect infinitive:agradecer
agradecías,you agradecías,agradecer - to thank,conjugation:indicative-imperfect infinitive:agradecer
agradecía,he thanked,agradecer - to thank,conjugation:indicative-imperfect infinitive:agradecer
agradecíamos,we were grateful,agradecer - to thank,conjugation:indicative-imperfect infinitive:agradecer
agradecían,they thanked,agradecer - to thank,conjugation:indicative-imperfect infinitive:agradecer
agregar,to add,,conjugation:infinitive infinitive:agregar
agregaba,I added,agregar - to add,conjugation:indicative-imperfect infinitive:agregar
agregabas,you were adding,agregar - to add,conjugation:indicative-imperfect infinitive:agregar
agregaba,he added,agregar - to add,conjugation:indicative-imperfect infinitive:agregar
agregábamos,we were adding,agregar - to add,conjugation:indicative-imperfect infinitive:agregar
agregaban,they added,agregar - to add,conjugation:indicative-imperfect infinitive:agregar
ahogar,"to suffocate, to drown",,conjugation:infinitive infinitive:ahogar
ahogaba,I was drowning,"ahogar - to suffocate, to drown",conjugation:indicative-imperfect infinitive:ahogar
ahogabas,you ahogabas,"ahogar - to suffocate, to drown",conjugation:indicative-imperfect infinitive:ahogar
ahogaba,he drowned,"ahogar - to suffocate, to drown",conjugation:indicative-imperfect infinitive:ahogar
ahogábamos,we were drowning,"ahogar - to suffocate, to drown",conjugation:indicative-imperfect infinitive:ahogar
ahogaban,they were drowning,"ahogar - to suffocate, to drown",conjugation:indicative-imperfect infinitive:ahogar
alcanzar,to reach,,conjugation:infinitive infinitive:alcanzar
alcanzaba,I reached,alcanzar - to reach,conjugation:indicative-imperfect infinitive:alcanzar
alcanzabas,you alcanzabas,alcanzar - to reach,conjugation:indicative-imperfect infinitive:alcanzar
alcanzaba,he reached,alcanzar - to reach,conjugation:indicative-imperfect infinitive:alcanzar
alcanzábamos,we were reaching,alcanzar - to reach,conjugation:indicative-imperfect infinitive:alcanzar
alcanzaban,they reached,alcanzar - to reach,conjugation:indicative-imperfect infinitive:alcanzar
almorzar,to have lunch,,conjugation:infinitive infinitive:almorzar
almorzaba,I had lunch,almorzar - to have lunch,conjugation:indicative-imperfect infinitive:almorzar
almorzabas,you had lunch,almorzar - to have lunch,conjugation:indicative-imperfect infinitive:almorzar
almorzaba,he had lunch,almorzar - to have lunch,conjugation:indicative-imperfect infinitive:almorzar
almorzábamos,we had lunch,almorzar - to have lunch,conjugation:indicative-imperfect infinitive:almorzar
almorzaban,they lunch,almorzar - to have lunch,conjugation:indicative-imperfect infinitive:almorzar
amar,to love,,conjugation:infinitive infinitive:amar
amaba,I loved,amar - to love,conjugation:indicative-imperfect infinitive:amar
amabas,you loved,amar - to love,conjugation:indicative-imperfect infinitive:amar
amaba,he loved,amar - to love,conjugation:indicative-imperfect infinitive:amar
amábamos,we loved,amar - to love,conjugation:indicative-imperfect infinitive:amar
amaban,they loved,amar - to love,conjugation:indicative-imperfect infinitive:amar
apagar,to turn off,,conjugation:infinitive infinitive:apagar
apagaba,I turned off,apagar - to turn off,conjugation:indicative-imperfect infinitive:apagar
apagabas,you apagabas,apagar - to turn off,conjugation:indicative-imperfect infinitive:apagar
apagaba,he was extinguishing,apagar - to turn off,conjugation:indicative-imperfect infinitive:apagar
apagábamos,we were extinguishing,apagar - to turn off,conjugation:indicative-imperfect infinitive:apagar
apagaban,they were extinguishing,apagar - to turn off,conjugation:indicative-imperfect infinitive:apagar
aparecer,to appear,,conjugation:infinitive infinitive:aparecer
aparecía,I appeared,aparecer - to appear,conjugation:indicative-imperfect infinitive:aparecer
aparecías,you were appearing,aparecer - to appear,conjugation:indicative-imperfect infinitive:aparecer
aparecía,he appeared,aparecer - to appear,conjugation:indicative-imperfect infinitive:aparecer
aparecíamos,we were appearing,aparecer - to appear,conjugation:indicative-imperfect infinitive:aparecer
aparecían,they appeared,aparecer - to appear,conjugation:indicative-imperfect infinitive:aparecer
aplaudir,"to applaud, to clap",,conjugation:infinitive infinitive:aplaudir
aplaudía,I applauded,"aplaudir - to applaud, to clap",conjugation:indicative-imperfect infinitive:aplaudir
aplaudías,you aplaudías,"aplaudir - to applaud, to clap",conjugation:indicative-imperfect infinitive:aplaudir
aplaudía,he applauded,"aplaudir - to applaud, to clap",conjugation:indicative-imperfect infinitive:aplaudir
aplaudíamos,we were applauding,"aplaudir - to applaud, to clap",conjugation:indicative-imperfect infinitive:aplaudir
aplaudían,they were applauding,"aplaudir - to applaud, to clap",conjugation:indicative-imperfect infinitive:aplaudir
aprobar,to pass,,conjugation:infinitive infinitive:aprobar
aprobaba,I approved,aprobar - to pass,conjugation:indicative-imperfect infinitive:aprobar
aprobabas,you were passing,aprobar - to pass,conjugation:indicative-imperfect infinitive:aprobar
aprobaba,he approved,aprobar - to pass,conjugation:indicative-imperfect infinitive:aprobar
aprobábamos,we were passing,aprobar - to pass,conjugation:indicative-imperfect infinitive:aprobar
aprobaban,they approved,aprobar - to pass,conjugation:indicative-imperfect infinitive:aprobar
arrebatar,to snatch,,conjugation:infinitive infinitive:arrebatar
me arrebataba,I snatched me,arrebatar - to snatch,conjugation:indicative-imperfect infinitive:arrebatar
te arrebatabas,you were getting carried away,arrebatar - to snatch,conjugation:indicative-imperfect infinitive:arrebatar
se arrebataba,he was getting carried away,arrebatar - to snatch,conjugation:indicative-imperfect infinitive:arrebatar
nos arrebatábamos,we were getting carried away,arrebatar - to snatch,conjugation:indicative-imperfect infinitive:arrebatar
se arrebataban,they were getting carried away,arrebatar - to snatch,conjugation:indicative-imperfect infinitive:arrebatar
atravesar,"to cross, to go through (through)",,conjugation:infinitive infinitive:atravesar
atravesaba,I was crossing (through),"atravesar - to cross, to go through (through)",conjugation:indicative-imperfect infinitive:atravesar
atravesabas,you were crossing (through),"atravesar - to cross, to go through (through)",conjugation:indicative-imperfect infinitive:atravesar
atravesaba,he was crossing (through),"atravesar - to cross, to go through (through)",conjugation:indicative-imperfect infinitive:atravesar
atravesábamos,we were crossing (through),"atravesar - to cross, to go through (through)",conjugation:indicative-imperfect infinitive:atravesar
atravesaban,they crossed (through),"atravesar - to cross, to go through (through)",conjugation:indicative-imperfect infinitive:atravesar
atribuir,"to attribute, to confer",,conjugation:infinitive infinitive:atribuir
atribuía,I attributed,"atribuir - to attribute, to confer",conjugation:indicative-imperfect infinitive:atribuir
atribuías,you atribuías,"atribuir - to attribute, to confer",conjugation:indicative-imperfect infinitive:atribuir
atribuía,he attributed,"atribuir - to attribute, to confer",conjugation:indicative-imperfect infinitive:atribuir
atribuíamos,we were attributing,"atribuir - to attribute, to confer",conjugation:indicative-imperfect infinitive:atribuir
atribuían,they attributed,"atribuir - to attribute, to confer",conjugation:indicative-imperfect infinitive:atribuir
ayudar,to help,,conjugation:infinitive infinitive:ayudar
ayudaba,I helped,ayudar - to help,conjugation:indicative-imperfect infinitive:ayudar
ayudabas,you were helping,ayudar - to help,conjugation:indicative-imperfect infinitive:ayudar
ayudaba,he helped,ayudar - to help,conjugation:indicative-imperfect infinitive:ayudar
ayudábamos,we were helping,ayudar - to help,conjugation:indicative-imperfect infinitive:ayudar
ayudaban,they helped,ayudar - to help,conjugation:indicative-imperfect infinitive:ayudar
bajar,"to go down, to decrease",,conjugation:infinitive infinitive:bajar
bajaba,I was going down,"bajar - to go down, to decrease",conjugation:indicative-imperfect infinitive:bajar
bajabas,you were going down,"bajar - to go down, to decrease",conjugation:indicative-imperfect infinitive:bajar
bajaba,he lowered,"bajar - to go down, to decrease",conjugation:indicative-imperfect infinitive:bajar
bajábamos,we were going down,"bajar - to go down, to decrease",conjugation:indicative-imperfect infinitive:bajar
bajaban,they were going down,"bajar - to go down, to decrease",conjugation:indicative-imperfect infinitive:bajar
barrer,to sweep,,conjugation:infinitive infinitive:barrer
barría,I was sweeping,barrer - to sweep,conjugation:indicative-imperfect infinitive:barrer
barrías,you were sweeping,barrer - to sweep,conjugation:indicative-imperfect infinitive:barrer
barría,he swept,barrer - to sweep,conjugation:indicative-imperfect infinitive:barrer
barríamos,we were sweeping,barrer - to sweep,conjugation:indicative-imperfect infinitive:barrer
barrían,they swept,barrer - to sweep,conjugation:indicative-imperfect infinitive:barrer
bañar,to take a bath,,conjugation:infinitive infinitive:bañar
bañaba,I bathed,bañar - to take a bath,conjugation:indicative-imperfect infinitive:bañar
bañabas,you were bathing,bañar - to take a bath,conjugation:indicative-imperfect infinitive:bañar
bañaba,he bathed,bañar - to take a bath,conjugation:indicative-imperfect infinitive:bañar
bañábamos,we were bathing,bañar - to take a bath,conjugation:indicative-imperfect infinitive:bañar
bañaban,they bathed,bañar - to take a bath,conjugation:indicative-imperfect infinitive:bañar
beber,to drink,,conjugation:infinitive infinitive:beber
bebía,I drank,beber - to drink,conjugation:indicative-imperfect infinitive:beber
bebías,you were drinking,beber - to drink,conjugation:indicative-imperfect infinitive:beber
bebía,he was drinking,beber - to drink,conjugation:indicative-imperfect infinitive:beber
bebíamos,we drank,beber - to drink,conjugation:indicative-imperfect infinitive:beber
bebían,they drank,beber - to drink,conjugation:indicative-imperfect infinitive:beber
besar,to kiss,,conjugation:infinitive infinitive:besar
besaba,I kissed,besar - to kiss,conjugation:indicative-imperfect infinitive:besar
besabas,you were kissing,besar - to kiss,conjugation:indicative-imperfect infinitive:besar
besaba,he kissed,besar - to kiss,conjugation:indicative-imperfect infinitive:besar
besábamos,we kissed,besar - to kiss,conjugation:indicative-imperfect infinitive:besar
besaban,they kissed,besar - to kiss,conjugation:indicative-imperfect infinitive:besar
borrar,to delete,,conjugation:infinitive infinitive:borrar
borraba,I erased,borrar - to delete,conjugation:indicative-imperfect infinitive:borrar
borrabas,you borrabas,borrar - to delete,conjugation:indicative-imperfect infinitive:borrar
borraba,he was erasing,borrar - to delete,conjugation:indicative-imperfect infinitive:borrar
borrábamos,we were erasing,borrar - to delete,conjugation:indicative-imperfect infinitive:borrar
borraban,they erased,borrar - to delete,conjugation:indicative-imperfect infinitive:borrar
bromear,to joke,,conjugation:infinitive infinitive:bromear
bromeaba,I was joking,bromear - to joke,conjugation:indicative-imperfect infinitive:bromear
bromeabas,you were joking,bromear - to joke,conjugation:indicative-imperfect infinitive:bromear
bromeaba,he joked,bromear - to joke,conjugation:indicative-imperfect infinitive:bromear
bromeábamos,we joked,bromear - to joke,conjugation:indicative-imperfect infinitive:bromear
bromeaban,they joked,bromear - to joke,conjugation:indicative-imperfect infinitive:bromear
burlar,"to trick, to deceive (deceptively)",,conjugation:infinitive infinitive:burlar
burlaba,I was joking (deceptively),"burlar - to trick, to deceive (deceptively)",conjugation:indicative-imperfect infinitive:burlar
burlabas,you were joking (deceptively),"burlar - to trick, to deceive (deceptively)",conjugation:indicative-imperfect infinitive:burlar
burlaba,he was joking (deceptively),"burlar - to trick, to deceive (deceptively)",conjugation:indicative-imperfect infinitive:burlar
burlábamos,we were joking (deceptively),"burlar - to trick, to deceive (deceptively)",conjugation:indicative-imperfect infinitive:burlar
burlaban,they were joking (deceptively),"burlar - to trick, to deceive (deceptively)",conjugation:indicative-imperfect infinitive:burlar
buscar,to look for,,conjugation:infinitive infinitive:buscar
buscaba,I was looking for,buscar - to look for,conjugation:indicative-imperfect infinitive:buscar
buscabas,you were looking,buscar - to look for,conjugation:indicative-imperfect infinitive:buscar
buscaba,he was looking,buscar - to look for,conjugation:indicative-imperfect infinitive:buscar
buscábamos,we were looking for,buscar - to look for,conjugation:indicative-imperfect infinitive:buscar
buscaban,they sought,buscar - to look for,conjugation:indicative-imperfect infinitive:buscar
caber,to fit,,conjugation:infinitive infinitive:caber
cabía,I could be,caber - to fit,conjugation:indicative-imperfect infinitive:caber
cabías,you cabías,caber - to fit,conjugation:indicative-imperfect infinitive:caber
cabía,he was fitting,caber - to fit,conjugation:indicative-imperfect infinitive:caber
cabíamos,we were fitting,caber - to fit,conjugation:indicative-imperfect infinitive:caber
cabían,they fit,caber - to fit,conjugation:indicative-imperfect infinitive:caber
caer,to fall,,conjugation:infinitive infinitive:caer
caía,I fell,caer - to fall,conjugation:indicative-imperfect infinitive:caer
caías,you were falling down,caer - to fall,conjugation:indicative-imperfect infinitive:caer
caía,he fell,caer - to fall,conjugation:indicative-imperfect infinitive:caer
caíamos,we were falling down,caer - to fall,conjugation:indicative-imperfect infinitive:caer
caían,they fell,caer - to fall,conjugation:indicative-imperfect infinitive:caer
calentar,"to heat up, to warm up",,conjugation:infinitive infinitive:calentar
calentaba,I was warming,"calentar - to heat up, to warm up",conjugation:indicative-imperfect infinitive:calentar
calentabas,you calentabas,"calentar - to heat up, to warm up",conjugation:indicative-imperfect infinitive:calentar
calentaba,he heated,"calentar - to heat up, to warm up",conjugation:indicative-imperfect infinitive:calentar
calentábamos,we warmed,"calentar - to heat up, to warm up",conjugation:indicative-imperfect infinitive:calentar
calentaban,they were warming,"calentar - to heat up, to warm up",conjugation:indicative-imperfect infinitive:calentar
cambiar,to change,,conjugation:infinitive infinitive:cambiar
cambiaba,I was changing,cambiar - to change,conjugation:indicative-imperfect infinitive:cambiar
cambiabas,you were changing,cambiar - to change,conjugation:indicative-imperfect infinitive:cambiar
cambiaba,he changed,cambiar - to change,conjugation:indicative-imperfect infinitive:cambiar
cambiábamos,we were changing,cambiar - to change,conjugation:indicative-imperfect infinitive:cambiar
cambiaban,they changed,cambiar - to change,conjugation:indicative-imperfect infinitive:cambiar
cancelar,to cancel,,conjugation:infinitive infinitive:cancelar
cancelaba,I canceled,cancelar - to cancel,conjugation:indicative-imperfect infinitive:cancelar
cancelabas,you cancelabas,cancelar - to cancel,conjugation:indicative-imperfect infinitive:cancelar
cancelaba,he canceled,cancelar - to cancel,conjugation:indicative-imperfect infinitive:cancelar
cancelábamos,we were canceling,cancelar - to cancel,conjugation:indicative-imperfect infinitive:cancelar
